ID,Var,Plot,Pop,Add,Garden,OrigSize,Flow14,FlowNo14,Dayofyear14,Alive14,Size14,Flow15,FlowNo15,Dayofyear15,Alive15,Size15,Flow16,FlowNo16,Dayofyear16,Alive16,Size16
165B,Northern,F,G,1,HELSINKI,0.197,0,0,0,1,0.369,0,0,0,1,0.923,0,0,0,0,0
171B,Northern,F,I,1,HELSINKI,0.273,0,0,0,1,0.547,0,0,0,1,0.079,1,1,1,1,0.769
174B,Northern,F,G,1,HELSINKI,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176B,Northern,F,I,1,HELSINKI,0.244,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.596
177B,Northern,F,G,1,HELSINKI,0.217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179B,Northern,F,G,1,HELSINKI,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182B,Northern,G,J,1,RAUMA,0.064,0,0,0,1,0.173,0,0,0,0,0,0,0,0,0,0
184B,Northern,G,I,1,RAUMA,0.805,0,0,0,1,0.384,1,3,145,1,0,0,0,0,1,0.876
187B,Southern,G,C,1,RAUMA,0.445,0,0,0,1,0.468,0,0,0,0,0,0,0,0,0,0
188B,Southern,G,C,1,RAUMA,16.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198B,Northern,G,I,1,RAUMA,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203B,Northern,G,J,1,RAUMA,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204B,Northern,G,I,1,RAUMA,0.161,0,0,0,1,0.078,0,0,0,0,0,0,0,0,0,0
210B,Northern,G,I,1,RAUMA,0.214,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0
213B,Southern,H,C,1,RAUMA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216B,Southern,H,C,1,RAUMA,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217B,Northern,H,J,1,RAUMA,0.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218B,Northern,H,I,1,RAUMA,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219B,Southern,H,C,1,RAUMA,11.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223B,Southern,H,E,1,RAUMA,10.641,1,2,0,1,12.921,1,9,138,1,1.94,0,0,0,1,2.459
224B,Northern,H,I,1,RAUMA,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225B,Northern,H,I,1,RAUMA,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229B,Northern,H,H,1,RAUMA,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230B,Southern,H,B,1,RAUMA,0.416,0,0,0,1,0.215,0,0,0,0,0,0,0,0,0,0
237B,Northern,H,J,1,RAUMA,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238B,Southern,H,C,1,RAUMA,1.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240B,Southern,H,E,1,RAUMA,3.719,0,0,0,1,8.128,0,0,0,1,1.543,0,0,0,0,0
241B,Southern,I,C,1,RAUMA,0.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242B,Northern,I,I,1,RAUMA,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245B,Southern,I,B,1,RAUMA,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248B,Northern,I,I,1,RAUMA,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249B,Southern,I,C,1,RAUMA,13.681,0,0,0,1,6.849,1,6,142,1,12.932,1,6,137,1,0
250B,Northern,I,I,1,RAUMA,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253B,Southern,I,C,1,RAUMA,0.325,0,0,0,1,0.318,0,0,0,1,0.658,0,0,0,1,0.858
255B,Southern,I,C,1,RAUMA,18.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
